# Data from NEON Inc.
# These data are provided under the terms of the NEON data policy included in this data download.
# Data Product ID: NEON.D10.RS1.DP1.00002.001.002.003.001
# Data Product Name: 1 minute minimum temperature tower level 3
# Site: Sterling Site, RELOCATABLE (CO)
# Geographic coordinates (lat/long): 40.4619/-103.0293
# Domain: Domain 10
# Query Citation Code: 8FCB4F3AD72D4C1EA7AAD5CEBDCBB80F
# Date-Time of Query Submission: 2014-07-10 14:25 (UTC)
# Start Date-Time for Data: 2014-04-02 00:00 (UTC)
# End Date-Time for Data: 2014-04-03 00:00 (UTC)
# 
### Sensor Metadata Below
### Sensor information: Thermometrics Climate RTD 100  Omega  Probe and Met One 076B aspirated radiation shield
### Units: deg C
### Sampling Rate (Hz): 1
### Assembly repeatability (precision) in deg C: 0.0025
### Assembly refers to the sensor(s) and relevant components (e.g. DAS); here repeatability represents the maximum expected assembly noise given at 95% confidence.
### Boom Level: 3
### Height Above Ground Level (m): 4.606
### Lat/Lon: 40.46187293/-103.0293535
### Threshold For Range test (Hard): min:  -89.2 (deg C) max:  56.7 (deg C)
### Threshold for Range test (soft): min: -54.4 (deg C) max: 46.1 (deg C)
### Threshold For Step test: 0.5 (deg C)
#
Start Date,End Date,Data 1,Data 2,Units,Readout Version,Value Name,Measurement Readout Type Name
2014-04-02 00:00:00.0,2014-04-02 00:01:00.0,9.35915699981207716007247654488310217857,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:01:00.0,2014-04-02 00:02:00.0,9.33078287526540783858308714115992188453,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:02:00.0,2014-04-02 00:03:00.0,9.32766201772996339514065766707062721252,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:03:00.0,2014-04-02 00:04:00.0,9.28811607728942689732321014162153005599,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:04:00.0,2014-04-02 00:05:00.0,9.25287990155684703097449528286233544349,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:05:00.0,2014-04-02 00:06:00.0,9.22205047569116409533762634964659810066,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:06:00.0,2014-04-02 00:07:00.0,9.1839064277097453015130668063648045063,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:07:00.0,2014-04-02 00:08:00.0,9.17025810248790840262245183112099766731,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:08:00.0,2014-04-02 00:09:00.0,9.15771907330623768928035133285447955131,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:09:00.0,2014-04-02 00:10:00.0,9.13708830873597754873571830103173851966,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:10:00.0,2014-04-02 00:11:00.0,9.10304220855567791659268550574779510498,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:11:00.0,2014-04-02 00:12:00.0,9.07549071029934317778042895952239632606,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:12:00.0,2014-04-02 00:13:00.0,9.04146569658566079397132853046059608459,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:13:00.0,2014-04-02 00:14:00.0,9.00956485183311350795065663987770676612,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:14:00.0,2014-04-02 00:15:00.0,8.95803140855836588229976769071072340011,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:15:00.0,2014-04-02 00:16:00.0,8.9324285542559689332620109780691564083,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:16:00.0,2014-04-02 00:17:00.0,8.92094337002397175240275828400626778602,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:17:00.0,2014-04-02 00:18:00.0,8.90089934103923674513225705595687031745,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:18:00.0,2014-04-02 00:19:00.0,8.82107712323400505738391075283288955688,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:19:00.0,2014-04-02 00:20:00.0,8.76106223770873704381756397197023034095,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:20:00.0,2014-04-02 00:21:00.0,8.71160010648727656246137485140934586524,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:21:00.0,2014-04-02 00:22:00.0,8.67632924617806189360180724179372191429,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:22:00.0,2014-04-02 00:23:00.0,8.6267099579646124851706190383993089199,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:23:00.0,2014-04-02 00:24:00.0,8.59033096484153979588427318958565592765,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:24:00.0,2014-04-02 00:25:00.0,8.5481593350948159582003427203744649887,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:25:00.0,2014-04-02 00:26:00.0,8.49676858635842258138382021570578217506,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:26:00.0,2014-04-02 00:27:00.0,8.46382281595093921566785866161808371543,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:27:00.0,2014-04-02 00:28:00.0,8.43611826822746024845400825142860412597,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:28:00.0,2014-04-02 00:29:00.0,8.42188790131757869517059589270502328872,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:29:00.0,2014-04-02 00:30:00.0,8.38527610140919499315259599825367331504,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:30:00.0,2014-04-02 00:31:00.0,8.36839362056938540490591549314558506011,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:31:00.0,2014-04-02 00:32:00.0,8.33281472250826027448056265711784362792,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:32:00.0,2014-04-02 00:33:00.0,8.30985115617936997978176805190742015838,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:33:00.0,2014-04-02 00:34:00.0,8.26382485584372261655516922473907470703,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:34:00.0,2014-04-02 00:35:00.0,8.19797410693061401332215609727427363395,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:35:00.0,2014-04-02 00:36:00.0,8.14725061681190787510331574594601988792,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:36:00.0,2014-04-02 00:37:00.0,8.11302062598377560220797022338956594467,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:37:00.0,2014-04-02 00:38:00.0,8.06019313643630574972576141590252518653,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:38:00.0,2014-04-02 00:39:00.0,8.04512636943283254709058383014053106307,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:39:00.0,2014-04-02 00:40:00.0,8.00112986500330869432673353003337979316,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:40:00.0,2014-04-02 00:41:00.0,7.98621922104255865804134373320266604423,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:41:00.0,2014-04-02 00:42:00.0,7.98555493759419121602149971295148134231,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:42:00.0,2014-04-02 00:43:00.0,7.97148237991947894443001132458448410034,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:43:00.0,2014-04-02 00:44:00.0,7.95251467099039111019465053686872124671,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:44:00.0,2014-04-02 00:45:00.0,7.94736908572048683652155887102708220481,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:45:00.0,2014-04-02 00:46:00.0,7.93197070186871755481661239173263311386,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:46:00.0,2014-04-02 00:47:00.0,7.89555855164367415000015171244740486145,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:47:00.0,2014-04-02 00:48:00.0,7.88750817935134129754715104354545474052,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:48:00.0,2014-04-02 00:49:00.0,7.85035817775062660928142577176913619041,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:49:00.0,2014-04-02 00:50:00.0,7.79190162255492069220963458064943552017,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:50:00.0,2014-04-02 00:51:00.0,7.73169356098776638930303306551650166511,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:51:00.0,2014-04-02 00:52:00.0,7.65766575882800992758348002098500728607,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:52:00.0,2014-04-02 00:53:00.0,7.66082334493290595389680674998089671134,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:53:00.0,2014-04-02 00:54:00.0,7.62784511412622201476096961414441466331,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:54:00.0,2014-04-02 00:55:00.0,7.58422719469487027765808306867256760597,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:55:00.0,2014-04-02 00:56:00.0,7.55836429628163131155815790407359600067,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:56:00.0,2014-04-02 00:57:00.0,7.54438809559585088493349758209660649299,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:57:00.0,2014-04-02 00:58:00.0,7.48145633593567893626641307491809129714,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:58:00.0,2014-04-02 00:59:00.0,7.40618760714885304707877367036417126655,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 00:59:00.0,2014-04-02 01:00:00.0,7.33357210427173455968841153662651777267,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:00:00.0,2014-04-02 01:01:00.0,7.2858838538079293556393167818896472454,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:01:00.0,2014-04-02 01:02:00.0,7.25370891833408215632061910582706332206,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:02:00.0,2014-04-02 01:03:00.0,7.19236131760725783124144072644412517547,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:03:00.0,2014-04-02 01:04:00.0,7.14444013204419370310915837762877345085,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:04:00.0,2014-04-02 01:05:00.0,7.08022873422548215671668003778904676437,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:05:00.0,2014-04-02 01:06:00.0,7.03164765587941786861847504042088985443,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:06:00.0,2014-04-02 01:07:00.0,6.98881670327721060687053977744653820991,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:07:00.0,2014-04-02 01:08:00.0,6.92398515840779538166316342540085315704,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:08:00.0,2014-04-02 01:09:00.0,6.92525199580940231669501372380182147026,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:09:00.0,2014-04-02 01:10:00.0,6.87926304764450158302224735962226986885,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:10:00.0,2014-04-02 01:11:00.0,6.84498757775361710287143068853765726089,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:11:00.0,2014-04-02 01:12:00.0,6.8125820093214404238324277685023844242,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:12:00.0,2014-04-02 01:13:00.0,6.77411869180702908010971441399306058883,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:13:00.0,2014-04-02 01:14:00.0,6.73497136545671537533053196966648101806,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:14:00.0,2014-04-02 01:15:00.0,6.69623569033825027929651696467772126197,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:15:00.0,2014-04-02 01:16:00.0,6.67308951100997482797083648620173335075,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:16:00.0,2014-04-02 01:17:00.0,6.6367296790859651167693300521932542324,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:17:00.0,2014-04-02 01:18:00.0,6.60526344020642319776470685610547661781,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:18:00.0,2014-04-02 01:19:00.0,6.57289855480123108577572565991431474685,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:19:00.0,2014-04-02 01:20:00.0,6.53229541651398903923109173774719238281,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:20:00.0,2014-04-02 01:21:00.0,6.51029704648964724356119404546916484832,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:21:00.0,2014-04-02 01:22:00.0,6.51218684725121654821577976690605282783,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:22:00.0,2014-04-02 01:23:00.0,6.48828094810278521720192657085135579109,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:23:00.0,2014-04-02 01:24:00.0,6.46180104656371412374937790445983409881,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:24:00.0,2014-04-02 01:25:00.0,6.44672121005018716743961704196408390998,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:25:00.0,2014-04-02 01:26:00.0,6.43232328710427303519736597081646323204,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:26:00.0,2014-04-02 01:27:00.0,6.40960544469368542763731966260820627212,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:27:00.0,2014-04-02 01:28:00.0,6.37315405662446110568453150335699319839,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:28:00.0,2014-04-02 01:29:00.0,6.35320223944926709691571886651217937469,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:29:00.0,2014-04-02 01:30:00.0,6.3375585473153090987352697993628680706,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:30:00.0,2014-04-02 01:31:00.0,6.30299508874761293952815321972593665122,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:31:00.0,2014-04-02 01:32:00.0,6.27718062430717083088893559761345386505,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:32:00.0,2014-04-02 01:33:00.0,6.26802342039446180876893777167424559593,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:33:00.0,2014-04-02 01:34:00.0,6.20453145492009916495135257719084620475,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:34:00.0,2014-04-02 01:35:00.0,6.19732280464886997606299701146781444549,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:35:00.0,2014-04-02 01:36:00.0,6.1830817452556381397243967512622475624,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:36:00.0,2014-04-02 01:37:00.0,6.16383330418847918963365373201668262481,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:37:00.0,2014-04-02 01:38:00.0,6.12810473922832699145146762020885944366,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:38:00.0,2014-04-02 01:39:00.0,6.09068106934625852488807140616700053215,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:39:00.0,2014-04-02 01:40:00.0,6.05045161276307119635475828545168042182,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:40:00.0,2014-04-02 01:41:00.0,6.03395142281739005341023585060611367225,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:41:00.0,2014-04-02 01:42:00.0,6.01788028724120493961891042999923229217,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:42:00.0,2014-04-02 01:43:00.0,5.97048443048674926103558391332626342773,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:43:00.0,2014-04-02 01:44:00.0,5.97445746481745665334983641514554619789,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:44:00.0,2014-04-02 01:45:00.0,5.95402294445722901627959799952805042266,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:45:00.0,2014-04-02 01:46:00.0,5.96113403070152791940472525311633944511,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:46:00.0,2014-04-02 01:47:00.0,5.95647671430000080761146818986162543296,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:47:00.0,2014-04-02 01:48:00.0,5.95507492464288645805936539545655250549,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:48:00.0,2014-04-02 01:49:00.0,5.91751535641647663510411803144961595535,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:49:00.0,2014-04-02 01:50:00.0,5.88890041284232168550261121708899736404,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:50:00.0,2014-04-02 01:51:00.0,5.87927704428282638104974466841667890548,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:51:00.0,2014-04-02 01:52:00.0,5.88278271492925597385692526586353778839,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:52:00.0,2014-04-02 01:53:00.0,5.87356789022947012313125014770776033401,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:53:00.0,2014-04-02 01:54:00.0,5.84386308771996532129833212820813059806,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:54:00.0,2014-04-02 01:55:00.0,5.80990996610503351860188558930531144142,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:55:00.0,2014-04-02 01:56:00.0,5.80875845643365096293564420193433761596,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:56:00.0,2014-04-02 01:57:00.0,5.78859816658823156387825292767956852912,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:57:00.0,2014-04-02 01:58:00.0,5.76123031254339146300935681210830807685,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:58:00.0,2014-04-02 01:59:00.0,5.73095972608154191618723416468128561973,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 01:59:00.0,2014-04-02 02:00:00.0,5.72116065399835171945142064942046999931,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:00:00.0,2014-04-02 02:01:00.0,5.69057895512714573271750850835815072059,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:01:00.0,2014-04-02 02:02:00.0,5.64655539405313611212022806284949183464,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:02:00.0,2014-04-02 02:03:00.0,5.64725749920020980709978175582364201545,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:03:00.0,2014-04-02 02:04:00.0,5.60374258378735845553819672204554080963,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:04:00.0,2014-04-02 02:05:00.0,5.56128010125356553317033103667199611663,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:05:00.0,2014-04-02 02:06:00.0,5.54345735857491739295710431179031729698,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:06:00.0,2014-04-02 02:07:00.0,5.50401585463013276466881507076323032379,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:07:00.0,2014-04-02 02:08:00.0,5.46992840329953899924930738052353262901,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:08:00.0,2014-04-02 02:09:00.0,5.45913701120215577589078748133033514022,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:09:00.0,2014-04-02 02:10:00.0,5.41122335435143142490233003627508878707,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:10:00.0,2014-04-02 02:11:00.0,5.39312826860012961560641997493803501129,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:11:00.0,2014-04-02 02:12:00.0,5.36157698956783157484551338711753487586,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:12:00.0,2014-04-02 02:13:00.0,5.34122288732710082115318073192611336708,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:13:00.0,2014-04-02 02:14:00.0,5.34032682980124562277524091769009828567,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:14:00.0,2014-04-02 02:15:00.0,5.28427394196922861624443612527102231979,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:15:00.0,2014-04-02 02:16:00.0,5.26668501612624950780627841595560312271,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:16:00.0,2014-04-02 02:17:00.0,5.24235935585780410406187002081423997879,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:17:00.0,2014-04-02 02:18:00.0,5.22183240743163068486865086015313863754,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
2014-04-02 02:18:00.0,2014-04-02 02:19:00.0,5.18607329580084197573341953102499246597,,degree Celsius,Version 1.0,Temperature Min (NEON.DOC.000646),Level-1 FIU measurement stream readout type
